"Time","Catch commercial fleet","Survey time","Catch survey fleet"
"1",1965,93.51,1965,1.78
"2",1966,212.444,1966,1.31
"3",1967,195.032,1967,0.91
"4",1968,382.712,1968,0.96
"5",1969,320.43,1969,0.88
"6",1970,402.467,1970,0.9
"7",1971,365.557,1971,0.87
"8",1972,606.084,1972,0.72
"9",1973,377.642,1973,0.57
"10",1974,318.836,1974,0.45
"11",1975,309.374,1975,0.42
"12",1976,389.02,1976,0.42
"13",1977,276.901,1977,0.49
"14",1978,254.251,1978,0.43
"15",1979,170.006,1979,0.4
"16",1980,97.181,1980,0.45
"17",1981,90.523,1981,0.55
"18",1982,176.532,1982,0.53
"19",1983,214.181,1983,0.58
"20",1984,228.672,1984,0.64
"21",1985,212.177,1985,0.66
"22",1986,231.179,1986,0.65
"23",1987,136.942,1987,0.61
"24",1988,212,1988,0.63
