"timeC" "obsC" "timeE" "obsE"
"1" 1965 93.51 1965 52.5337078651685
"2" 1966 212.444 1966 162.170992366412
"3" 1967 195.032 1967 214.320879120879
"4" 1968 382.712 1968 398.658333333333
"5" 1969 320.43 1969 364.125
"6" 1970 402.467 1970 447.185555555556
"7" 1971 365.557 1971 420.180459770115
"8" 1972 606.084 1972 841.783333333333
"9" 1973 377.642 1973 662.529824561404
"10" 1974 318.836 1974 708.524444444444
"11" 1975 309.374 1975 736.604761904762
"12" 1976 389.02 1976 926.238095238095
"13" 1977 276.901 1977 565.104081632653
"14" 1978 254.251 1978 591.281395348837
"15" 1979 170.006 1979 425.015
"16" 1980 97.181 1980 215.957777777778
"17" 1981 90.523 1981 164.587272727273
"18" 1982 176.532 1982 333.079245283019
"19" 1983 214.181 1983 369.277586206897
"20" 1984 228.672 1984 357.3
"21" 1985 212.177 1985 321.480303030303
"22" 1986 231.179 1986 355.66
"23" 1987 136.942 1987 224.495081967213
"24" 1988 212 1988 336.507936507937
