"timeC";"obsC";"timeI1";"obsI1"
"1";1945;809;1945;3.49
"2";1946;854;1946;3.38
"3";1947;919;1947;3.18
"4";1948;1360;1948;3.56
"5";1949;1872;1949;1.79
"6";1950;2672;1950;4.35
"7";1951;2834;1951;2.33
"8";1952;3324;1952;2.57
"9";1953;4160;1953;2.88
"10";1954;5541;1954;3.85
"11";1955;5009;1955;4.16
"12";1956;6547;1956;4.34
"13";1957;5049;1957;3.7
"14";1958;4447;1958;2.37
"15";1959;4018;1959;2.46
"16";1960;3762;1960;2.06
"17";1961;4042;1961;2.21
"18";1962;4583;1962;2.19
"19";1963;4554;1963;2.44
"20";1964;4597;1964;2.14
"21";1965;4984;1965;2.18
"22";1966;5295;1966;2.13
"23";1967;4782;1967;1.86
"24";1968;4975;1968;1.53
"25";1969;4786;1969;1.32
"26";1970;4699;1970;1.45
"27";1971;4478;1971;1.4
"28";1972;3495;1972;1.09
"29";1973;3784;1973;1.23
"30";1974;3643;1974;1.12
"31";1975;2987;1975;0.92
"32";1976;3311;1976;1.02
"33";1977;3237;1977;1
"34";1978;3418;1978;1.05
"35";1979;4050;1979;1.09
"36";1980;4190;1980;1.03
"37";1981;4058;1981;1.01
"38";1982;4331;1982;0.98
"39";1983;4385;1983;0.88
"40";1984;4911;1984;0.85
"41";1985;4856;1985;0.84
"42";1986;4657;1986;0.81
"43";1987;4500;1987;0.84
"44";1988;3128;1988;0.68
"45";1989;3318;1989;0.62
"46";1990;2770;1990;0.54
