"","timeC","obsC","stdevfacC","timeI1","obsI1","stdevfacI1"
"1",1945,809,1.5,1945.5,3.49,2
"2",1946,854,1.5,1946.5,3.38,2
"3",1947,919,1.5,1947.5,3.18,2
"4",1948,1360,1.5,1948.5,3.56,2
"5",1949,1872,1.5,1949.5,1.79,1
"6",1950,2672,1.5,1950.5,4.35,1
"7",1951,2834,1.5,1951.5,2.33,1
"8",1952,3324,1.5,1952.5,2.57,1
"9",1953,4160,1,1953.5,2.88,1
"10",1954,5541,1,1954.5,3.85,1
"11",1955,5009,1,1955.5,4.16,1
"12",1956,6547,1,1956.5,4.34,1
"13",1957,5049,1,1957.5,3.7,1
"14",1958,4447,1,1958.5,2.37,1
"15",1959,4018,1,1959.5,2.46,1
"16",1960,3762,1,1960.5,2.06,1
"17",1961,4042,1,1961.5,2.21,1
"18",1962,4583,1,1962.5,2.19,1
"19",1963,4554,1,1963.5,2.44,1
"20",1964,4597,1,1964.5,2.14,1
"21",1965,4984,1,1965.5,2.18,1
"22",1966,5295,1,1966.5,2.13,1
"23",1967,4782,1,1967.5,1.86,1
"24",1968,4975,1,1968.5,1.53,1
"25",1969,4786,1,1969.5,1.32,1
"26",1970,4699,1,1970.5,1.45,1
"27",1971,4478,1,1971.5,1.4,1
"28",1972,3495,1,1972.5,1.09,1
"29",1973,3784,1,1973.5,1.23,1
"30",1974,3643,1,1974.5,1.12,1
"31",1975,2987,1,1975.5,0.92,1
"32",1976,3311,1,1976.5,1.02,1
"33",1977,3237,1,1977.5,1,1
"34",1978,3418,1,1978.5,1.05,1
"35",1979,4050,1,1979.5,1.09,1
"36",1980,4190,1,1980.5,1.03,1
"37",1981,4058,1,1981.5,1.01,1
"38",1982,4331,1,1982.5,0.98,1
"39",1983,4385,1,1983.5,0.88,1
"40",1984,4911,1,1984.5,0.85,1
"41",1985,4856,1,1985.5,0.84,1
"42",1986,4657,1,1986.5,0.81,1
"43",1987,4500,1,1987.5,0.84,1
"44",1988,3128,1,1988.5,0.68,1
"45",1989,3318,1,1989.5,0.62,1
"46",1990,2770,1,1990.5,0.54,1
